sample_id,x,y,z,wind_x,wind_y,wind_z
0,5.7512,1.1428,1.0455,0.074549,-0.058483,-0.02227
1,0.94205,4.1511,1.0459,0.022864,-0.091961,0.067407
2,7.8506,4.6544,1.1471,0.13235,-0.049998,-0.0081459
3,3.5461,1.8415,0.94627,0.24609,-0.50997,0.023001
4,3.4497,5.4659,1.149,-0.12134,-0.01054,-0.074751
5,0.53546,4.3505,0.94682,-0.016488,-0.1361,0.068828
6,8.8551,3.2505,1.1478,-0.10638,-0.058803,-0.030208
7,1.0434,2.049,1.1478,0.067562,0.070113,0.078865
8,6.95,1.4462,1.147,0.086479,-0.019626,-0.012829
9,5.05,0.039809,0.94993,0.54773,-0.026029,0.11176
10,6.749,2.7497,1.044,-0.24836,-0.020662,0.0066929
11,8.1513,3.7507,1.1469,-0.095737,-0.055907,0.018338
12,0.23077,1.1495,1.0495,-0.027763,0.15681,0.08794
13,4.6514,4.7503,1.047,0.13149,0.17614,0.022865
14,6.75,5.6685,1.1495,0.58986,0.01167,0.026255
15,6.5488,3.651,1.1469,-0.14966,0.049143,0.0086594
16,4.9654,4.157,0.94936,-0.11623,0.069337,-0.0088481
17,3.1541,2.2467,1.1481,0.39478,-0.2228,0.037835
18,9.0565,3.651,0.94407,0.0060951,-0.26841,-0.043405
19,3.35,0.23054,1.0495,-0.27443,0.013859,0.039042
20,3.2484,4.5551,0.94325,0.089669,0.12418,-0.045533
21,4.347,4.3404,0.9483,0.0071963,0.1093,0.016095
22,7.25,0.039794,1.15,0.68168,-0.00058662,0.056272
23,3.7493,5.2622,1.047,0.094084,0.2587,-0.034546
24,8.4508,0.53439,1.149,0.39543,0.082768,-0.01809
25,0.13002,0.23679,1.15,-0.034633,0.049977,0.098703
26,7.05,1.6475,1.0441,0.036681,-0.015763,-0.0019678
27,7.35,2.8499,1.0439,-0.29012,-0.0071846,0.0031951
28,1.4476,2.4495,0.94193,0.47709,-0.0020169,0.064884
29,4.8556,1.9532,1.15,-0.054393,-0.022149,-0.012988
