"Points:0","Points:1","Points:2","U:0","U:1","U:2"
1.4777390e+00,1.3980123e+00,2.5000000e-02,1.0760601e+00,4.0151799e-01,-1.4341800e-16
4.7453749e+00,1.7779787e+00,2.5000000e-02,-4.3680900e-01,-7.3870099e-01,9.1663801e-17
4.0357325e+00,1.1350613e-01,2.5000000e-02,-1.0645100e+00,-1.2649401e-01,-6.6672597e-17
1.2149944e+00,4.2103774e+00,2.5000000e-02,1.1010200e-02,1.5694400e+00,8.9263996e-18
8.2914969e+00,5.8616454e+00,2.5000000e-02,6.4767098e-01,3.4484100e-01,-2.9310199e-16
4.0724408e+00,1.0291224e-01,2.5000000e-02,-1.0425800e+00,-1.2820800e-01,-5.7154898e-17
4.0503675e-01,1.1641573e+00,2.5000000e-02,1.9258400e+00,4.2814800e-01,-2.5482899e-18
9.7269316e+00,5.6663343e+00,2.5000000e-02,3.4213099e-01,-4.4842699e-01,3.3628899e-17
1.3851396e+00,1.2631681e+00,2.5000000e-02,1.1114000e+00,2.8291699e-01,-5.7159398e-17
1.3864945e-01,7.3567332e-01,2.5000000e-02,-1.1120400e-01,5.0324303e-01,-1.6088200e-16
3.4025129e+00,2.3147556e+00,2.5000000e-02,8.0810100e-02,1.2041700e+00,-2.3188300e-17
9.0714556e+00,4.5077260e+00,2.5000000e-02,-1.6873699e+00,-9.1424000e-01,-1.2812500e-17
9.3935808e+00,3.4774053e+00,2.5000000e-02,-1.3563199e-01,-1.1038200e+00,2.0331600e-17
3.8719975e+00,1.4013740e+00,2.5000000e-02,-2.7707601e-01,3.1178400e-01,-5.0382301e-17
8.1884184e+00,3.5502863e+00,2.5000000e-02,9.5902398e-02,-1.0362400e+00,-6.0163599e-17
5.9925475e+00,1.2778374e+00,2.5000000e-02,-1.1784101e+00,-1.8606000e+00,5.4196801e-17
9.6912533e+00,5.6536897e+00,2.5000000e-02,4.3797800e-01,-5.5643201e-01,2.7348801e-16
1.5455488e+00,3.4530150e-01,2.5000000e-02,-5.8340502e-01,-3.8044301e-01,-3.9931300e-17
7.1440592e-01,3.4764962e-02,2.5000000e-02,-6.3445902e-01,9.7639002e-02,2.3035699e-16
9.2855883e+00,5.9652330e+00,2.5000000e-02,6.1594701e-01,-9.4249599e-02,-2.9193700e-16
7.1629009e+00,4.2113723e-02,2.5000000e-02,-1.9249600e+00,-1.4907500e-02,1.2539901e-16
8.4367730e-01,4.9985174e+00,2.5000000e-02,1.8319800e-03,4.0031499e-01,-1.9942101e-19
4.7044940e+00,3.0578056e+00,2.5000000e-02,5.0044203e-01,-3.3120999e-01,1.6477100e-16
4.6041244e+00,3.2470727e+00,2.5000000e-02,6.9102502e-01,-2.1290299e-01,1.8853499e-17
8.7250392e+00,1.1313621e+00,2.5000000e-02,-1.0215100e+00,-1.4045100e+00,3.6994101e-17
3.5094125e-01,5.7403564e+00,2.5000000e-02,-2.7149299e-01,-1.9961201e-01,-1.0351300e-16
3.1876755e+00,2.3415434e+00,2.5000000e-02,5.7687301e-02,1.6096700e+00,2.5601099e-18
6.1380749e+00,1.2486303e+00,2.5000000e-02,-5.6825602e-01,-1.0602900e+00,-6.2019097e-17
6.2741315e+00,5.7294917e+00,2.5000000e-02,-8.1930798e-01,6.8491898e-02,3.6964501e-17
6.1390074e+00,2.2873779e-01,2.5000000e-02,-2.5904400e+00,-2.4656200e-01,5.8222001e-17
1.0108324e+00,3.5714705e+00,2.5000000e-02,-4.6905801e-03,1.0924799e+00,2.3244500e-17
4.6340440e+00,3.2185470e+00,2.5000000e-02,6.6149598e-01,-2.4000201e-01,-6.0219801e-17
2.1431224e+00,5.3639871e+00,2.5000000e-02,3.2862999e+00,2.5572100e+00,2.6797300e-17
1.5500795e+00,3.7329123e-01,2.5000000e-02,-5.3829497e-01,-3.9662501e-01,8.5735001e-17
3.1533077e+00,2.3433811e+00,2.5000000e-02,6.1557099e-02,1.7294101e+00,-2.8147802e-17
9.1991905e+00,2.1330741e+00,2.5000000e-02,-4.3694999e-02,-1.8814300e+00,-1.5474800e-18
8.0985101e+00,4.6796195e+00,2.5000000e-02,-1.6711500e-01,5.1252502e-01,6.0254000e-17
9.1938665e+00,4.1448163e+00,2.5000000e-02,-1.4809600e+00,-1.1897000e+00,-7.6882898e-18
3.6829867e-01,2.0587131e+00,2.5000000e-02,1.3744700e+00,5.1692998e-01,8.2622704e-18
1.8142028e+00,5.0188700e+00,2.5000000e-02,7.9489499e-01,2.9612000e+00,-5.6642503e-17
5.3025317e+00,5.1018736e+00,2.5000000e-02,2.0589900e+00,-2.1443400e+00,3.3431801e-17
7.6174127e+00,3.3287626e-01,2.5000000e-02,-1.8599800e+00,-2.7354801e-01,-7.2831499e-18
3.9904285e+00,2.4825622e+00,2.5000000e-02,1.6659600e-01,3.7726000e-01,-3.0540402e-17
5.2986474e+00,3.7346774e+00,2.5000000e-02,6.3751900e-01,-4.8439500e-01,-4.9932801e-17
3.1813487e+00,1.7605767e+00,2.5000000e-02,-1.5665000e-02,1.6060300e+00,-4.8135400e-17
3.9165318e+00,5.9761591e+00,2.5000000e-02,1.4646500e+00,-1.3324501e-01,-7.3803198e-17
9.7171957e-01,1.7706104e+00,2.5000000e-02,1.6590199e+00,1.0517700e+00,3.9872001e-17
5.7208964e+00,5.5705692e+00,2.5000000e-02,-3.6504999e-01,-4.6602100e-01,-1.1230599e-16
8.8353837e+00,4.6787214e+00,2.5000000e-02,-1.3613700e+00,-5.8904499e-01,-5.5549003e-17
5.1585582e+00,2.5356593e+00,2.5000000e-02,-6.5166801e-02,-9.1680199e-01,-2.6111500e-17
1.3489877e+00,2.4132809e+00,2.5000000e-02,7.2473001e-01,1.7867500e+00,2.8048100e-17
7.7327196e+00,1.3506724e+00,2.5000000e-02,-2.9445601e-01,-2.3977999e-01,-1.1491400e-16
6.5295545e+00,4.5171929e+00,2.5000000e-02,2.2502400e-01,2.0104100e-01,-5.6837598e-17
1.8274906e+00,1.0831215e+00,2.5000000e-02,2.3230000e-01,-6.9886798e-01,-1.4336501e-19
4.0182182e+00,2.0286234e+00,2.5000000e-02,-7.4684702e-02,2.7634001e-01,6.7015799e-18
7.7360797e+00,1.6906339e+00,2.5000000e-02,2.5998899e-01,-1.2518600e-01,1.4728500e-16
1.0607932e-01,9.1689259e-01,2.5000000e-02,3.8010601e-02,3.3923101e-01,4.4334102e-17
