sample_id,x,y,z,wind_x,wind_y,wind_z
0,6.1501,5.5672,1.0485,0.52976,0.02828,0.015804
1,2.05,0.039807,0.94993,-0.3096,0.010672,-0.082616
2,3.2533,2.1455,1.1483,0.32871,-0.27555,0.035042
3,4.5508,4.4422,0.94753,-0.10231,-0.017544,-0.0015491
4,6.6501,0.73818,0.94505,0.29778,-0.016088,-0.012911
5,2.75,5.8702,1.1499,-0.31051,-0.048352,-0.059919
6,7.0498,3.7507,0.94134,-0.13146,0.022579,0.015323
7,8.85,0.039813,1.05,0.48237,0.010011,0.0063976
8,7.5503,4.2519,1.0441,0.018328,-0.018052,0.009663
9,3.15,5.8701,0.94964,-0.33946,-0.016345,0.05469
10,7.8506,2.4496,1.1469,-0.17847,0.013133,0.020398
11,5.65,5.8701,1.0498,0.6521,0.026246,0.078739
12,5.1303,2.6495,1.1499,-0.025931,-0.078206,-0.0035981
13,1.2466,4.9562,0.94353,-0.11892,-0.11082,-0.0092196
14,6.2489,2.048,0.94202,-0.071736,-0.07071,-0.00061502
15,3.1499,5.5672,1.0485,-0.19624,-0.061214,-0.05974
16,0.84191,3.6513,1.1485,0.17998,-0.03985,0.092929
17,7.35,2.7498,1.1468,-0.27329,-0.011988,0.0061981
18,0.7405,3.0503,0.94597,1.0155,0.00079853,0.0046953
19,0.039824,1.75,1.05,-0.00064125,0.15899,0.092724
20,6.95,4.3523,0.94154,0.032666,0.020162,-0.0030459
21,0.53767,2.8486,0.94763,1.0135,0.0080664,0.0040223
22,1.0465,5.3627,1.0477,-0.16054,-0.094505,-0.024279
23,8.2515,4.5533,1.0444,0.10016,-0.10491,-0.0084307
24,9.8696,0.54769,0.94977,0.03789,0.28148,0.025222
25,2.4498,0.83921,1.0463,-0.15141,0.098635,-0.13319
26,2.7497,0.94064,1.0458,-0.09368,0.084705,-0.14323
27,9.4637,0.84523,1.1492,0.12623,0.30182,-0.05698
28,1.4474,4.5529,0.94216,-0.042501,-0.092472,0.013762
29,9.2533,5.667,1.0492,0.29401,-0.1219,-0.021027
30,8.2503,5.5672,1.1493,0.46285,-0.05317,-0.0047093
31,6.05,0.039798,1.05,0.68943,-0.0056917,0.078549
32,3.4476,1.2432,1.1479,0.12039,-0.18199,-0.04317
33,4.3489,4.8526,1.1484,0.36974,0.52617,0.053056
34,5.8501,0.43266,1.1493,0.53405,-0.040603,0.020063
35,8.3514,0.94086,1.1479,0.25028,0.1072,-0.02991
