sample_id,x,y,z,wind_x,wind_y,wind_z
0,0.8109897,3.599524,0.025,0.259414,0.0479602,-4.9177600000000006e-17
1,7.899913,2.397453,0.025,-0.183384,-0.795534,-2.37335e-17
2,4.133239,4.689332,0.025,-1.34274,-0.0848339,4.75353e-18
3,4.428767,4.890072,0.025,-0.776084,-0.413539,-7.0562e-18
4,6.130137,3.187519,0.025,0.601393,-0.67422,6.23374e-19
5,5.811605,3.998025,0.025,1.38671,-0.265048,-2.09723e-18
6,4.926525,5.657561,0.025,0.295161,-0.665087,5.0313900000000005e-17
7,0.7028174,4.530332,0.025,0.97918,-0.0236484,2.6908800000000003e-17
8,8.356087,5.189268,0.025,0.252612,0.557463,-1.7278500000000002e-17
9,2.778636,4.53584,0.025,-0.218602,0.190797,3.8163300000000004e-17
10,4.901603,0.2413965,0.025,-0.12441,-0.250298,5.0897e-17
11,7.544932,4.105987,0.025,0.440347,1.10043,-1.1317e-17
12,2.303812,0.5047849,0.025,-0.250848,0.189783,-1.78e-17
13,9.223693,5.376688,0.025,0.447088,-0.223318,-1.3375900000000001e-17
14,9.444814,0.7568103,0.025,0.344497,0.612587,-1.84238e-18
15,1.461151,4.611531,0.025,0.912178,0.11511,3.9911400000000005e-17
16,2.552447,4.102577,0.025,-1.71406,0.902488,3.49165e-18
17,6.746825,4.976275,0.025,-0.139052,-0.157331,-7.63362e-18
18,2.795258,0.8246901,0.025,0.231112,0.0412751,4.28815e-18
19,9.306679,1.364752,0.025,-0.0449424,0.457752,-2.94126e-18
20,8.685183,1.039838,0.025,0.112834,-0.113047,-9.7526e-18
21,3.765836,5.213588,0.025,-0.00886299,0.134058,5.907179999999999e-19
22,9.047014,4.264607,0.025,-0.369441,-0.133075,-3.01472e-18
23,7.899381,5.10899,0.025,-0.0591551,1.08957,-6.77431e-18
24,7.811352,4.563128,0.025,0.409122,1.47078,9.28779e-18
25,3.569368,2.48624,0.025,3.21331,1.16884,-1.74929e-17
26,5.671466,3.650168,0.025,3.68283,-0.583078,-4.82912e-20
27,1.203788,5.490389,0.025,-0.281452,0.0605088,5.07968e-18
28,1.868597,2.057753,0.025,1.16841,0.545718,-1.4599e-17
29,9.714164,2.135011,0.025,-0.42652,1.04079,-1.07764e-17
30,8.033504,0.1243925,0.025,1.47009,-0.0789823,-1.81352e-18
31,7.311801,3.428193,0.025,0.713016,0.250658,3.71347e-18
32,8.600746,2.774336,0.025,-1.00763,-0.108269,-1.00394e-17
33,4.091923,5.881759,0.025,1.50509,0.200134,7.56765e-18
34,3.421123,1.505859,0.025,1.27762,0.215797,3.2029500000000004e-17
35,7.082089,3.42329,0.025,1.42907,-0.867439,5.5965800000000005e-18
36,5.061233,3.43377,0.025,0.457442,0.181663,7.078340000000001e-18
37,2.707033,2.484213,0.025,1.08769,0.0177152,6.64077e-20
38,4.452883,1.906637,0.025,0.354844,0.413191,1.3298700000000002e-17
39,9.270887,5.349229,0.025,0.412491,-0.26559,1.1139400000000001e-17
40,8.602859,0.8981037,0.025,0.19224,-0.138795,3.52201e-18
41,4.77119,0.2876616,0.025,-0.178213,-0.221281,1.67823e-17
42,4.187888,5.028852,0.025,-0.564278,-0.197795,2.83207e-18
43,1.230832,5.929604,0.025,-1.27253,0.00437679,-9.88493e-18
44,0.3384407,1.978091,0.025,-0.00503567,-0.377198,-1.1865300000000001e-17
45,9.531025,3.906264,0.025,-0.397193,-0.343638,1.5636700000000002e-17
46,8.249253,2.537867,0.025,-0.616364,-0.419016,3.36471e-17
47,9.159558,5.104323,0.025,0.272938,-0.253594,2.2750600000000003e-17
48,8.333296,1.366748,0.025,-0.111364,-0.531545,-6.19327e-18
49,9.812975,3.902758,0.025,-0.255,-0.401038,4.35846e-17
50,3.498062,3.212426,0.025,0.778866,0.301521,2.24353e-18
51,5.718933,5.085982,0.025,-0.117756,-0.596427,-1.64475e-17
52,9.170889,1.693696,0.025,-0.202529,0.277547,3.24421e-18
53,0.8424683,1.565343,0.025,1.45166,0.697831,-2.3313000000000002e-17
54,1.456537,1.79556,0.025,1.22816,0.860082,3.22463e-18
