"Points:0","Points:1","Points:2","U:0","U:1","U:2"
5.590012e+00,5.635503e+00,2.500000e-02,-4.595700e-02,6.799360e-02,-1.321260e-16
2.369947e+00,3.136021e+00,2.500000e-02,1.217770e+00,-4.606980e-02,5.065500e-18
5.586162e+00,7.641622e-01,2.500000e-02,-1.517300e-01,2.470830e+00,-3.541060e-19
6.019129e+00,8.600641e-02,2.500000e-02,-1.377040e+00,-8.332270e-01,4.662990e-18
5.582504e+00,1.692727e+00,2.500000e-02,4.409490e-02,3.343100e+00,-3.601750e-17
9.980068e+00,3.907726e+00,2.500000e-02,-2.018440e-02,-3.060120e-02,-7.376020e-16
2.438045e+00,3.460210e+00,2.500000e-02,1.439670e-01,1.171290e-02,-9.882570e-18
4.652899e+00,3.079870e+00,2.500000e-02,-4.281770e-01,-2.575440e-02,-7.217770e-18
7.271596e+00,3.491162e+00,2.500000e-02,6.067810e-01,1.118260e-01,-4.774620e-18
9.909006e+00,1.167114e-01,2.500000e-02,-5.906080e-02,-8.646010e-02,5.970110e-17
6.767707e+00,2.585865e+00,2.500000e-02,1.642650e+00,-1.475010e+00,-9.074930e-18
7.439246e+00,3.260111e+00,2.500000e-02,3.916980e-01,2.743210e-01,3.734650e-17
7.914944e+00,5.838731e+00,2.500000e-02,-1.428610e-01,1.946100e-01,2.044480e-17
7.971771e+00,5.871657e+00,2.500000e-02,-1.027180e-01,1.529160e-01,5.243550e-18
7.252596e+00,3.508826e+00,2.500000e-02,5.849830e-01,2.000750e-02,7.851210e-18
5.582391e+00,5.800231e+00,2.500000e-02,2.818050e-02,1.324470e-01,-9.932349e-19
2.418453e+00,3.434234e+00,2.500000e-02,2.363510e-01,-9.360680e-03,-1.089400e-17
4.055406e+00,2.125330e+00,2.500000e-02,1.045260e+00,1.150510e+00,-6.979340e-18
7.421751e+00,3.239222e+00,2.500000e-02,5.540320e-01,1.034150e-03,-2.864470e-17
5.560465e+00,5.782634e+00,2.500000e-02,1.728800e-02,1.677430e-01,3.095350e-17
8.478332e+00,3.565615e+00,2.500000e-02,-7.289150e-01,1.755500e-02,2.200360e-17
5.571619e+00,5.613801e+00,2.500000e-02,-4.131110e-02,8.567170e-02,1.722330e-16
6.425095e+00,4.464534e+00,2.500000e-02,2.185930e-01,-2.881940e-01,-8.478490e-18
6.444578e+00,4.437646e+00,2.500000e-02,2.380860e-01,-2.815360e-01,1.566410e-17
7.000472e+00,2.625270e+00,2.500000e-02,1.293240e+00,-1.747960e+00,3.211030e-18
8.753909e+00,3.566393e+00,2.500000e-02,-7.596210e-01,1.617950e-03,3.650760e-18
6.585121e-02,5.412999e+00,2.500000e-02,-4.144400e-02,-8.684890e-01,1.181430e-17
7.252580e+00,3.443589e+00,2.500000e-02,8.144140e-01,-9.842300e-02,5.366790e-18
4.054395e+00,2.032105e+00,2.500000e-02,1.015050e+00,9.482270e-01,-6.264470e-18
4.006639e+00,3.055165e+00,2.500000e-02,1.073310e+00,2.532580e+00,-9.811320e-18
5.396395e+00,3.431142e+00,2.500000e-02,5.870470e-01,1.337320e-01,2.085810e-18
1.263459e+00,5.880156e-01,2.500000e-02,4.302450e-01,1.614990e+00,-7.400420e-18
4.329944e+00,1.699698e+00,2.500000e-02,4.938710e-01,2.802140e-01,-2.445430e-17
4.409518e+00,1.652976e+00,2.500000e-02,4.069890e-01,1.885970e-01,2.009160e-17
5.566906e+00,5.831244e+00,2.500000e-02,3.571480e-02,1.462700e-01,6.563750e-17
9.129311e+00,3.581031e+00,2.500000e-02,-6.607010e-01,-4.415140e-02,4.302820e-18
4.309983e+00,2.409061e+00,2.500000e-02,2.153690e-01,1.768480e+00,-1.806290e-17
4.056331e+00,2.215136e+00,2.500000e-02,1.065700e+00,1.366200e+00,-3.850330e-17
5.586831e+00,5.852261e+00,2.500000e-02,5.465550e-02,1.197730e-01,-1.021070e-16
5.565928e+00,1.308716e+00,2.500000e-02,-3.606510e-02,3.311240e+00,-2.451840e-17
6.597736e+00,5.837238e+00,2.500000e-02,-7.710270e-01,-9.839880e-02,5.851470e-18
4.059420e+00,2.248189e+00,2.500000e-02,1.064080e+00,1.453300e+00,1.193490e-17
4.083363e+00,2.201890e+00,2.500000e-02,9.949820e-01,1.326750e+00,1.819710e-17
9.896293e+00,2.935000e+00,2.500000e-02,1.808960e-01,-1.104020e-01,-1.599620e-17
4.980802e+00,5.277005e+00,2.500000e-02,2.527240e-03,-9.628470e-01,-1.142120e-17
6.500439e+00,1.711998e-02,2.500000e-02,-2.717320e+00,-1.716940e+00,8.903230e-20
6.743583e+00,2.573748e+00,2.500000e-02,1.680090e+00,-1.452980e+00,7.244960e-18
2.874768e+00,6.923117e-02,2.500000e-02,-9.902970e-01,-1.797820e-02,9.237000e-18
