sample_id,x,y,z,wind_x,wind_y,wind_z
0,6.4484,2.4491,1.0442,-0.16813,-0.048238,0.0073783
1,8.8551,1.548,0.94277,0.063446,0.24073,-0.039321
2,9.3624,0.94539,1.1489,0.13151,0.30373,-0.063195
3,6.6501,0.83986,0.94429,0.24437,-0.018187,-0.017579
4,8.051,1.5472,1.0442,0.075229,0.074645,0.0002767
5,5.7505,5.1603,0.94451,0.20243,0.040494,-0.0094258
6,2.0493,4.5538,1.1471,0.0063611,-0.042801,-0.027774
7,8.4524,1.6479,1.0444,0.056414,0.14227,-0.0086918
8,8.5504,5.6681,0.94841,0.46527,-0.058285,-0.0026962
9,5.6518,4.7565,1.0456,0.038033,0.070813,-0.022076
10,1.0439,2.7494,1.1481,1.0258,0.0055827,0.0087757
11,8.7541,3.6507,1.0449,-0.05271,-0.1562,-0.013565
12,6.0504,1.0419,1.0455,0.1338,-0.042303,-0.022951
13,5.5415,2.3461,0.94652,-0.078949,-0.10979,-0.0026135
14,6.2488,3.9522,1.0445,-0.071941,0.071239,-0.00085813
15,7.6503,3.4503,1.1468,-0.22013,0.0037121,0.016493
16,5.1561,4.5553,1.1486,-0.078422,0.08808,-0.018901
17,8.1509,4.9574,1.0453,0.20901,-0.080834,-0.021718
18,4.551,1.7644,1.0494,-0.13614,0.047765,-0.0094694
19,9.0571,2.7492,1.1484,-0.010331,0.11443,-0.04412
20,5.259,1.7396,1.1491,-0.073945,-0.14878,-0.012092
21,5.0467,3.8557,0.94986,-0.012021,0.17268,-0.005336
22,3.1495,5.1613,1.1482,-0.068634,-0.05897,-0.13617
23,3.9325,1.8355,0.94902,0.36419,-0.91505,0.072162
24,9.0501,5.9602,1.05,0.42392,-0.012318,-0.00042875
25,4.449,4.339,1.1495,-0.10976,-0.026172,-0.0023069
26,9.1591,4.7528,0.94468,0.091832,-0.30343,-0.062632
27,8.3519,2.6497,1.147,-0.19796,0.030338,0.00012474
28,6.3475,3.1502,0.94188,-0.22825,0.016445,0.0035561
29,6.7501,0.94043,1.1479,0.22538,-0.016153,-0.025143
30,2.2497,4.3528,1.147,0.051522,-0.027809,-0.016279
31,6.95,1.3454,1.1471,0.11187,-0.017607,-0.016963
32,9.7683,0.6472,0.94936,0.06279,0.30528,-0.0072723
33,6.5491,2.249,0.94157,-0.12409,-0.049498,0.0072161
34,0.64031,3.6518,1.0478,0.13132,-0.043304,0.091261
35,6.3497,4.2525,0.94181,-0.0063152,0.060148,-0.0074882
36,9.3529,0.23167,0.94935,0.28828,0.094413,-0.014477
37,8.2514,4.6541,1.0445,0.12455,-0.10377,-0.012803
38,9.0565,3.3509,0.94429,0.0036318,-0.17447,-0.037965
39,1.0446,0.94259,1.0464,-0.11147,0.10939,0.001386
40,9.3633,4.5513,1.0475,0.055101,-0.38512,-0.075787
41,8.8546,3.6507,0.94285,-0.036845,-0.18986,-0.022891
42,5.9447,3.4514,0.94349,-0.14631,0.060205,0.0010465
43,5.3326,2.8496,1.049,-0.072008,-0.033209,-0.0019413
44,4.8596,4.1446,1.1498,-0.10728,0.0084678,-0.013865
45,0.94301,0.94293,1.1484,-0.08804,0.10755,0.012085
46,8.1509,1.0426,1.0453,0.20906,0.080937,-0.021816
47,9.6682,4.4503,1.1495,0.024659,-0.47608,-0.073682
48,0.14051,3.1517,1.05,1.0005,-0.0026999,0.00092277
49,2.95,5.9602,0.94992,-0.35607,-0.0082808,0.038206
50,2.8528,2.3482,1.1474,0.47868,-0.10941,0.042765
51,6.1501,0.53473,0.94673,0.44759,-0.028566,0.0055629
52,0.23071,1.4498,1.0495,-0.014824,0.16093,0.088797
53,8.6531,2.9499,0.94221,-0.19742,0.0079259,-0.023906
54,8.7504,5.7692,0.94913,0.46903,-0.052441,-0.00045285
55,1.7491,5.1609,1.1482,-0.14827,-0.076523,-0.063719
56,4.65,0.33174,1.049,0.38908,-0.24477,0.066469
57,5.4397,3.6543,1.1492,-0.067354,0.11668,-0.0039796
58,3.8693,3.451,1.0498,0.14315,0.48554,0.1013
59,5.7396,2.8494,1.1484,-0.14898,-0.026295,-0.00059989
60,6.5483,3.0501,1.0441,-0.25422,0.0049394,0.0030355
61,0.23081,4.5502,0.94914,-0.018043,-0.16496,0.081115
62,3.769,2.9499,1.1497,0.29832,-0.060251,0.10453
63,3.9324,1.8354,1.0494,0.36357,-0.90694,0.081037
64,5.7501,5.6686,1.1495,0.58692,0.043989,0.037632
65,4.5503,1.0454,1.1483,0.33339,-0.37616,0.042818
66,4.5509,1.6609,1.1495,-0.13102,0.041377,-0.0082479
67,1.0446,3.4508,0.94355,0.85386,0.0027448,0.017408
68,4.8572,1.6526,0.94808,-0.14247,-0.022522,-0.010808
69,4.0494,0.7383,1.0471,0.23651,-0.47394,0.016941
70,2.1496,4.8559,0.94256,-0.094594,-0.087517,-0.082858
71,4.4492,4.545,0.94675,0.12407,0.21673,0.026086
72,5.3502,0.43275,1.1493,0.52549,-0.09231,0.030465
73,2.85,0.23047,1.1497,-0.28783,0.077633,-0.061731
74,5.3503,5.4652,0.94682,0.4677,0.096437,0.017681
75,5.7515,4.3557,1.1479,-0.016526,0.099095,-0.015715
76,4.95,5.8701,1.0498,0.50001,0.074804,0.10905
77,3.4492,1.9429,0.94584,0.24977,-0.4316,0.020208
78,8.9558,3.4508,1.0458,-0.027995,-0.16501,-0.029229
79,1.8496,5.4658,1.149,-0.22622,-0.074111,-0.098134
80,2.15,5.8701,0.94964,-0.30748,-0.035533,-0.078922
81,8.7541,3.3505,1.045,-0.11208,-0.079892,-0.015708
82,7.05,0.23049,1.1497,0.63451,-0.0052677,0.039011
83,4.7522,4.7511,1.047,0.05532,0.1014,0.012092
84,6.35,0.12985,1.0498,0.681,-0.011655,0.060752
85,0.74912,5.8699,1.1499,-0.16482,-0.025169,-0.032758
86,9.9602,5.0501,1.05,0.0066965,-0.41141,0.0062881
87,6.6486,3.1502,1.1469,-0.25624,0.014333,0.003141
88,8.6531,3.0501,0.94221,-0.19793,-0.0067526,-0.024022
89,1.6482,3.9511,1.147,0.10493,-0.041549,0.066845
90,6.0503,0.83971,0.94439,0.2142,-0.032326,-0.01364
91,4.0414,1.9454,1.1499,0.29779,-0.92481,0.090021
92,5.847,3.8539,1.148,-0.080287,0.098009,-0.0033586
93,2.3498,5.1608,1.0463,-0.15859,-0.097119,-0.12628
94,3.7606,3.7563,1.0493,0.22693,0.67826,0.081289
95,0.73869,1.8492,1.1486,0.022045,0.10064,0.075863
96,3.6494,0.73826,0.94536,0.058527,-0.20618,-0.047672
97,5.5365,2.8495,0.94668,-0.1127,-0.03009,-0.00075653
98,5.55,5.7694,1.0495,0.61884,0.049196,0.058996
99,8.855,4.8551,1.0456,0.14987,-0.21573,-0.046901
100,1.5477,2.2492,1.1471,0.2009,0.029409,0.084575
101,2.8497,1.5463,0.94216,0.042405,0.0079078,-0.057618
102,7.1501,4.5533,0.94174,0.085042,0.0056946,-0.0076137
103,5.0647,4.0649,1.1499,-0.095322,0.19211,-0.0089594
104,0.73907,4.351,0.94521,-0.017088,-0.12105,0.060255
105,8.8545,3.5507,0.9429,-0.048386,-0.16694,-0.021758
106,7.05,1.7479,1.1469,0.013279,-0.019266,0.0018638
107,9.2616,4.2509,1.1485,0.047658,-0.37495,-0.071281
108,2.4497,4.8565,1.045,-0.067777,-0.070547,-0.10885
109,1.3466,2.1491,1.0446,0.10942,0.051292,0.08116
110,6.75,1.5471,0.94167,0.051775,-0.030592,-0.0094176
111,8.4515,0.94192,0.94373,0.21873,0.11654,-0.028572
112,1.1498,5.8701,1.0498,-0.23204,-0.02526,-0.0714
113,5.9503,5.2619,0.94514,0.27991,0.033021,-0.0064444
114,2.7496,1.2439,1.1473,-0.0051962,0.037646,-0.10735
115,7.35,3.7507,1.0439,-0.1289,0.0080016,0.020758
116,3.5623,2.4469,1.1492,0.40649,-0.42559,0.074907
117,7.3501,5.2618,0.94504,0.31387,-0.0066786,-0.01463
118,5.4531,4.6558,0.94419,-0.011611,0.089138,-0.01737
119,3.1492,1.1434,0.94304,0.021536,-0.020573,-0.1075
120,7.6503,0.94057,1.1479,0.25694,0.029821,-0.022493
121,6.4501,5.2628,1.1484,0.31562,0.018104,-0.014353
122,6.5501,4.8569,1.1474,0.14616,0.029757,-0.026328
123,2.0499,2.95,1.0441,1.0305,-0.0038606,0.0076969
124,0.3319,4.4503,1.049,-0.014747,-0.1524,0.083532
125,9.0536,5.4641,1.0482,0.28759,-0.15542,-0.032445
126,3.9493,5.2622,1.1486,0.18169,0.38726,0.0012605
127,9.0577,1.1457,1.0463,0.13054,0.26501,-0.058243
128,8.1512,1.7482,1.0441,0.028543,0.086155,0.0063815
129,1.5499,0.12992,0.94965,-0.27798,0.028167,-0.086218
130,8.3517,3.3502,0.94162,-0.19693,-0.037274,0.00026579
131,6.3474,3.0501,0.94188,-0.23444,0.0054353,0.0031275
132,9.8695,0.34245,1.15,0.050222,0.17942,0.022337
133,3.8454,4.6546,0.94518,0.28629,0.62964,0.026693
134,9.7652,0.23489,1.0499,0.10582,0.12356,0.0085749
135,7.0501,4.958,1.1477,0.20253,0.0069654,-0.024301
136,8.5517,5.1596,0.94446,0.24609,-0.12393,-0.030965
137,2.1501,2.5496,0.94145,0.7449,-0.022534,0.039122
138,8.8546,3.0501,0.94304,-0.14216,-0.0098954,-0.030711
139,2.7498,1.5465,0.942,0.033641,0.024398,-0.058269
140,9.3593,3.5522,1.0479,0.09377,-0.40321,-0.073737
141,5.4363,2.5478,1.0484,-0.078512,-0.088374,-0.0022315
142,0.54143,0.43698,1.1496,-0.10906,0.077721,0.018915
143,2.0499,2.95,1.1469,1.0293,-0.0039447,0.0086337
144,3.149,1.6452,1.0455,0.11126,-0.11242,-0.025686
145,9.1574,0.84263,0.9457,0.1734,0.23971,-0.051114
146,4.5506,4.6476,1.1488,0.12902,0.19373,0.028765
147,3.1548,3.6525,0.94411,0.4712,0.23835,0.031528
148,1.6483,4.4525,0.94184,-0.01879,-0.079672,0.011968
149,0.53948,2.6471,1.1495,1.013,0.019434,0.0070406
150,2.9521,3.8526,1.0451,0.29396,0.11905,0.028861
151,2.3499,0.33146,1.1495,-0.27286,0.081589,-0.1218
152,6.0505,4.8573,1.1476,0.10901,0.047518,-0.026744
153,5.1501,5.7694,1.0495,0.55994,0.092082,0.071748
154,3.1496,0.73713,1.1485,-0.10291,0.074393,-0.13211
155,9.1584,2.8494,1.1487,0.037105,0.090533,-0.060614
156,6.2502,4.6545,0.94219,0.071199,0.051093,-0.019058
157,9.5591,0.33567,0.9492,0.18408,0.15552,-0.016241
158,1.3464,1.8486,1.0446,0.037897,0.070353,0.056343
159,7.9504,0.83905,1.1482,0.29736,0.054013,-0.023646
160,4.45,0.63647,1.1488,0.36783,-0.42447,0.041761
161,9.666,3.1519,1.1499,0.68889,-0.32122,-0.090851
162,6.85,0.53477,0.9467,0.44166,-0.010896,0.00032397
163,5.6483,3.956,1.1485,-0.062285,0.11983,-0.0064344
164,5.1522,4.9574,1.1482,0.09626,0.069682,-0.0015211
165,8.7512,5.5668,1.1493,0.38981,-0.097015,-0.017381
166,1.0437,2.049,1.0455,0.06102,0.072876,0.077329
167,6.15,5.8702,1.1499,0.6709,0.01369,0.071875
168,1.6491,0.73845,0.94513,-0.19561,0.10037,-0.068676
169,6.9495,2.6497,0.94134,-0.23875,-0.020623,0.010479
170,1.0497,0.12994,1.1499,-0.20905,0.024259,-0.067571
171,2.7522,3.6515,1.1472,0.47244,0.084247,0.045774
172,8.0509,1.9489,0.94145,-0.027873,0.067578,0.013713
173,2.4506,2.1486,1.147,0.23288,-0.010944,0.050337
174,9.6608,3.6524,1.0493,0.039774,-0.63218,-0.084065
175,3.15,5.9602,1.05,-0.35662,-0.0076334,0.059524
176,8.8552,2.9499,1.1479,-0.15008,0.008477,-0.0576
177,6.4479,2.6494,1.147,-0.20924,-0.035505,0.0058278
178,5.3458,2.1418,0.94802,-0.050564,-0.14996,-0.0047545
179,5.2556,4.5562,1.1485,-0.058278,0.09783,-0.01962
180,6.9497,2.2493,0.94136,-0.13039,-0.027844,0.013817
181,1.145,4.2513,0.9427,0.0048515,-0.091592,0.052547
182,0.43759,3.7512,1.0487,0.044364,-0.072843,0.092
183,1.3491,0.43302,1.1493,-0.20723,0.065231,-0.067124
184,9.6645,5.5591,1.1498,0.1245,-0.20244,-0.018299
185,1.849,4.3521,0.94166,0.0070126,-0.067384,0.011335
186,4.1442,1.9533,0.94989,-0.2759,-0.076177,0.0063043
187,5.75,5.8702,1.1499,0.65162,0.02245,0.083607
188,5.5524,1.3442,0.94381,0.0035631,-0.086653,-0.017774
189,3.7665,3.5525,1.0494,0.24975,0.54025,0.088451
190,7.6504,1.9487,1.1469,-0.030072,0.020262,0.018164
191,0.63921,0.74245,1.1491,-0.092201,0.10942,0.026513
192,5.5511,0.94056,1.0461,0.14072,-0.048929,-0.011549
193,7.7503,1.043,0.94298,0.20045,0.035947,-0.016268
194,8.7545,2.049,1.1474,0.0032569,0.19568,-0.017879
195,3.8479,4.9571,1.0463,0.23419,0.47296,0.0059194
196,1.4479,5.0586,1.0459,-0.13081,-0.095938,-0.030821
197,0.84211,3.6513,1.0467,0.17678,-0.040857,0.089844
198,1.5479,1.5476,0.94193,-0.021153,0.083517,0.017972
199,8.9507,5.7692,1.1498,0.41104,-0.066181,-0.0064705
200,9.5648,5.2546,0.94815,0.10781,-0.30203,-0.041423
201,6.6495,2.0486,1.0441,-0.072389,-0.046468,0.005166
202,5.0673,4.1646,0.94902,-0.10857,0.15994,-0.0082175
203,2.5497,4.8566,1.045,-0.06003,-0.068428,-0.11638
204,7.9507,4.5534,1.0443,0.099133,-0.061769,-0.0029535
205,9.6675,4.1499,0.94847,0.0040303,-0.52135,-0.071007
206,1.9491,1.6475,1.147,0.040214,0.040063,0.0054521
207,0.73999,3.8511,1.1487,0.065771,-0.073969,0.089374
208,7.9506,4.8562,1.0449,0.18005,-0.059003,-0.01603
209,3.9455,2.0414,1.0499,0.13368,-1.0247,0.094776
210,0.039808,1.55,1.15,-0.0013789,0.16241,0.10063
211,8.0507,0.94067,1.1479,0.25806,0.067861,-0.024451
212,7.3501,5.4658,1.149,0.45676,-0.007752,-0.0035064
213,4.45,5.6683,1.049,0.28002,0.29088,0.069596
214,1.0439,2.349,1.148,0.2234,0.034557,0.089622
215,4.7503,0.63708,0.94617,0.42527,-0.30267,0.032422
216,0.84262,2.4487,0.94492,0.35459,0.0068843,0.068523
217,3.7677,3.4515,1.1497,0.26971,0.44946,0.10223
218,3.2601,3.1506,1.0468,0.75257,0.087688,0.041877
219,5.7399,2.8495,1.0468,-0.14876,-0.0263,-0.00023035
220,6.5501,1.245,0.94224,0.112,-0.033433,-0.019681
221,3.1497,0.63587,1.0474,-0.12515,0.060893,-0.11156
222,9.8682,3.7466,0.94973,-0.074966,-0.62613,-0.051833
223,9.1513,5.7688,0.94923,0.35971,-0.07946,-0.011635
224,7.0501,0.94151,0.94357,0.22044,-0.0068062,-0.019351
225,7.3501,0.53415,1.149,0.45676,0.0077814,-0.0034647
226,8.5507,0.43311,1.0485,0.41988,0.076082,-0.011486
227,1.7486,4.4528,1.0443,-0.0010561,-0.06444,0.007236
228,0.43573,5.3564,1.1495,-0.077617,-0.10654,0.050651
229,5.2502,0.43278,1.1493,0.51955,-0.11029,0.033457
230,5.6503,5.4659,1.149,0.46875,0.054662,0.012606
231,3.2505,1.9448,1.0463,0.22558,-0.24928,0.013603
232,4.1489,5.0575,1.0466,0.34407,0.60107,0.036342
233,6.1501,5.3641,1.0474,0.37248,0.026397,-0.0024026
